,episode,speaker,lines
0,69,The Adventure Zone,
1,69,Dungeon Master & NPCs, Griffin McElroy
2,69,Magnus Burnsides, Travis McElroy
3,69,Merle Highchurch, Clint McElroy
4,69,Taako Taaco, Justin McElroy
5,69,"Episode 69 - Story and Song - Finale, Part Three",
6,69,(part of TAZscripts on Tumblr) ,
7,69,Griffin," Hey! So. I’m Griffin McElroy, your dungeon master, your best friend, and your—your very grateful and very relieved cohost of the Adventure Zone Podcast. This is it! This is the last episode of our first campaign. We are wrapping up the story that we’ve been telling together for the past three years uh, in this episode 69, which is great! ‘Cuz that is the sex number! I am popping in here at the top of the episode to do our usual stuff, play in a promo and read some ad stuff because, uh, frankly, when I was editing the episode, there just really isn’t a good place to like add in a break for this stuff. So let me do it now, and then I’m gonna go, and let you listen to the rest of the episode."
8,69,[commercial break - email adventurezonecast@gmail.com to ask questions that may be answered on the next The The Adventure Zone Zone],
9,69,"Let’s join our heroes as they take one final, fateful flight aboard the Starblaster. I—I still can’t believe they called it that. Talk to you next week.",
10,69,{8,00}
11,69,Griffin," We see a close-up of Davenport’s face, his teeth gritted, his knuckles tight across the spokes of the Starblaster’s wheel. Next to him in the helm is Lucretia, still channeling the last bits of light out of the orb holding the Animus Bell into her staff, preparing the spell that will, she hopes, contain the Hunger once and for all."
12,69,"And through the viewport of the Starblaster’s helm, we see Taako, Merle, and Magnus on the deck of the ship, bracing themselves on a railing as their vessel picks up speed. And over the bow of the ship, we see the Hunger, and it’s never looked so imposing, so invincible. Its scale is so incredible that as you fly ever closer toward it, it looks like it’s wrapping around you, its edges growing concave, threatening to swallow the horizon whole.",
13,69,"And from that black opal mass, hundreds of points of multicolored lights flash and, from those points, ribbons of darkness shoot out of the plane with wild, chaotic trajectories, and then fly to intercept your ship. And we see Davenport again, and he slowly lowers one of his hands to the throttle and holds it there. And he lowers his stance like a cat ready to pounce, and he waits.",
14,69,[Starblaster starts playing],
15,69,"And this circus of tendrils comes closer, flying at supersonic speed, and he waits. And the three of you see these tendrils just seconds away now, roaring towards you, and Davenport waits. And Lucretia looks up from her work and she says,",
16,69,Lucretia, Davenport!
17,69,Griffin," And Davenport says,"
18,69,Davenport, Not yet.
19,69,Griffin," And the tendrils are nearly on top of you, and Lucretia says,"
20,69,Lucretia, [more urgently] Davenport! Davenport!
21,69,Griffin," And Davenport smiles and he tightens his grip on the wheel and he says,"
22,69,Davenport," Alright, buddy. Dance for me."
